"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"111","WildStang","65","78.4","1770","1844","17.6","50","10.7","0.62","0.43","0.49","2025cmptx","FIRST Championship","8","28-4-0","0.875"
"190","Gompei and the HERD","66","78.2","1769","1843","22","48","8.2","0.52","0.66","0.52","N/A","N/A","N/A","58-15-0","0.795"
"4522","Team SCREAM","67","77.7","1766","1839","20","49.6","8.1","0.59","0.52","0.45","2025cmptx","FIRST Championship","8","40-12-0","0.769"
"1153","Timberwolves","68","77.5","1765","1838","13.1","53.9","10.5","0.53","0.53","0.64","2025cmptx","FIRST Championship","8","39-14-0","0.736"
"8033","Highlander Robotics","69","77.3","1763","1837","21.1","48.2","8","0.6","0.48","0.54","2025cmptx","FIRST Championship","8","35-12-0","0.745"
"4611","OZone","70","77.3","1763","1837","19.5","49.3","8.5","0.48","0.48","0.32","2025cmptx","FIRST Championship","8","26-4-0","0.867"
"3478","PrepaTec - LamBot","71","76.8","1760","1833","18","48.2","10.7","0.64","0.48","0.68","2025cmptx","FIRST Championship","8","29-5-1","0.843"
"987","HIGHROLLERS","72","76.5","1758","1831","22.5","44.3","9.7","0.6","0.67","0.71","2025cmptx","FIRST Championship","8","28-4-1","0.864"
"125","NUTRONs","73","75.9","1754","1827","21.4","43.5","11.1","0.63","0.38","0.55","N/A","N/A","N/A","43-10-0","0.811"
"2231","OnyxTronix","74","75.8","1754","1827","19","48.1","8.7","0.29","0.25","0.61","2025cmptx","FIRST Championship","8","38-9-2","0.796"
"1732","Hilltopper Robotics","75","75.8","1753","1827","18.7","46.5","10.6","0.43","0.46","0.54","2025cmptx","FIRST Championship","8","35-11-0","0.761"
"581","Blazing Bulldogs","76","75.5","1752","1825","16.4","49.1","10","0.53","0.3","0.71","2025cmptx","FIRST Championship","8","26-10-0","0.722"
"6328","Mechanical Advantage","77","75.5","1751","1824","21.6","44.7","9.2","0.7","0.49","0.53","2025cmptx","FIRST Championship","8","40-14-0","0.741"
"5813","Morpheus","78","75.2","1750","1823","17.5","47.7","10.1","0.44","0.68","0.66","N/A","N/A","N/A","43-11-0","0.796"
"4415","EPIC Robotz","79","75.1","1749","1822","15.6","49.7","9.9","0.48","0.57","0.68","2025cmptx","FIRST Championship","8","44-5-0","0.898"
"7558","ALT-F4","80","74.9","1748","1821","19.6","44.9","10.4","0.55","0.33","0.84","2025cmptx","FIRST Championship","8","41-14-0","0.745"
"3467","Windham Windup","81","74.9","1748","1821","16.2","50.6","8.2","0.55","0.69","0.44","N/A","N/A","N/A","43-14-0","0.754"
"1501","Team THRUST","82","74.9","1748","1820","19.4","47","8.5","0.47","0.25","0.39","2025cmptx","FIRST Championship","8","54-14-1","0.790"
"4476","W.A.F.F.L.E.S.","83","74.6","1746","1819","19.7","52","3","0.68","0.59","0.17","2025cmptx","FIRST Championship","8","42-13-0","0.764"
"2930","Sonic Squirrels","84","74.4","1744","1817","21","43.2","10.1","0.49","0.5","0.69","N/A","N/A","N/A","36-16-0","0.692"
"3538","RoboJackets","85","74.3","1744","1817","19.6","48.9","5.8","0.6","0.56","0.31","2025cmptx","FIRST Championship","8","39-10-0","0.796"
"179","Children of the Swamp","86","74","1742","1815","14.7","52.9","6.5","0.62","0.32","0.43","2025cmptx","FIRST Championship","8","35-12-0","0.745"
"133","B.E.R.T.","87","74","1742","1815","17.8","44.4","11.8","0.5","0.34","0.64","N/A","N/A","N/A","34-17-0","0.667"
"1833","Team BEAN","88","73.9","1741","1814","15.3","48.5","10","0.62","0.48","0.72","2025cmptx","FIRST Championship","8","46-5-2","0.887"
"695","Bison Robotics","89","73.7","1740","1812","19.3","46.9","7.5","0.39","0.18","0.36","N/A","N/A","N/A","19-10-0","0.655"
"3175","Knight Vision","90","73.5","1739","1811","17.5","47.7","8.4","0.56","0.3","0.32","2025cmptx","FIRST Championship","8","33-16-0","0.673"
